concept_baseline,signal_count,hour,is_anomaly,dataset_type
39.67,36.0,0,0,SYNTHETIC
39.67,38.0,1,0,SYNTHETIC
39.67,43.0,2,0,SYNTHETIC
39.67,31.0,3,0,SYNTHETIC
39.67,40.0,4,0,SYNTHETIC
39.67,42.0,5,0,SYNTHETIC
39.67,22.0,6,0,SYNTHETIC
39.67,35.0,7,0,SYNTHETIC
39.67,38.0,8,0,SYNTHETIC
39.67,24.0,9,0,SYNTHETIC
39.67,33.0,10,0,SYNTHETIC
39.67,43.0,11,0,SYNTHETIC
39.67,35.0,12,0,SYNTHETIC
39.67,46.0,13,0,SYNTHETIC
39.67,35.0,14,0,SYNTHETIC
39.67,37.0,15,0,SYNTHETIC
39.67,38.0,16,0,SYNTHETIC
39.67,52.0,17,0,SYNTHETIC
39.67,34.0,18,0,SYNTHETIC
39.67,43.0,19,0,SYNTHETIC
39.67,35.0,20,0,SYNTHETIC
39.67,35.0,21,0,SYNTHETIC
39.67,31.0,22,0,SYNTHETIC
39.67,31.0,23,0,SYNTHETIC
30.36,30.0,0,0,SYNTHETIC
30.36,25.0,1,0,SYNTHETIC
30.36,40.0,2,0,SYNTHETIC
30.36,37.0,3,0,SYNTHETIC
30.36,25.0,4,0,SYNTHETIC
30.36,27.0,5,0,SYNTHETIC
30.36,27.0,6,0,SYNTHETIC
30.36,24.0,7,0,SYNTHETIC
30.36,40.0,8,0,SYNTHETIC
30.36,29.0,9,0,SYNTHETIC
30.36,23.0,10,0,SYNTHETIC
30.36,37.0,11,0,SYNTHETIC
30.36,32.0,12,0,SYNTHETIC
30.36,24.0,13,0,SYNTHETIC
30.36,43.0,14,0,SYNTHETIC
30.36,27.0,15,0,SYNTHETIC
30.36,35.0,16,0,SYNTHETIC
30.36,17.0,17,0,SYNTHETIC
30.36,110.0,18,1,SYNTHETIC
30.36,29.0,19,0,SYNTHETIC
30.36,19.0,20,0,SYNTHETIC
30.36,27.0,21,0,SYNTHETIC
30.36,30.0,22,0,SYNTHETIC
30.36,22.0,23,0,SYNTHETIC
13.87,12.0,0,0,SYNTHETIC
13.87,13.0,1,0,SYNTHETIC
13.87,12.0,2,0,SYNTHETIC
13.87,16.0,3,0,SYNTHETIC
13.87,15.0,4,0,SYNTHETIC
13.87,6.0,5,0,SYNTHETIC
13.87,17.0,6,0,SYNTHETIC
13.87,16.0,7,0,SYNTHETIC
13.87,16.0,8,0,SYNTHETIC
13.87,11.0,9,0,SYNTHETIC
13.87,13.0,10,0,SYNTHETIC
13.87,19.0,11,0,SYNTHETIC
13.87,12.0,12,0,SYNTHETIC
13.87,12.0,13,0,SYNTHETIC
13.87,22.0,14,0,SYNTHETIC
13.87,15.0,15,0,SYNTHETIC
13.87,10.0,16,0,SYNTHETIC
13.87,15.0,17,0,SYNTHETIC
13.87,13.0,18,0,SYNTHETIC
13.87,19.0,19,0,SYNTHETIC
13.87,8.0,20,0,SYNTHETIC
13.87,12.0,21,0,SYNTHETIC
13.87,17.0,22,0,SYNTHETIC
13.87,7.0,23,0,SYNTHETIC
26.47,23.0,0,0,SYNTHETIC
26.47,30.0,1,0,SYNTHETIC
26.47,27.0,2,0,SYNTHETIC
26.47,28.0,3,0,SYNTHETIC
26.47,28.0,4,0,SYNTHETIC
26.47,12.0,5,0,SYNTHETIC
26.47,126.0,6,1,SYNTHETIC
26.47,30.0,7,0,SYNTHETIC
26.47,21.0,8,0,SYNTHETIC
26.47,33.0,9,0,SYNTHETIC
26.47,33.0,10,0,SYNTHETIC
26.47,28.0,11,0,SYNTHETIC
26.47,29.0,12,0,SYNTHETIC
26.47,31.0,13,0,SYNTHETIC
26.47,33.0,14,0,SYNTHETIC
26.47,29.0,15,0,SYNTHETIC
26.47,28.0,16,0,SYNTHETIC
26.47,29.0,17,0,SYNTHETIC
26.47,23.0,18,0,SYNTHETIC
26.47,19.0,19,0,SYNTHETIC
26.47,21.0,20,0,SYNTHETIC
26.47,38.0,21,0,SYNTHETIC
26.47,23.0,22,0,SYNTHETIC
26.47,34.0,23,0,SYNTHETIC
12.63,8.0,0,0,SYNTHETIC
12.63,8.0,1,0,SYNTHETIC
12.63,11.0,2,0,SYNTHETIC
12.63,15.0,3,0,SYNTHETIC
12.63,55.0,4,1,SYNTHETIC
12.63,12.0,5,0,SYNTHETIC
12.63,15.0,6,0,SYNTHETIC
12.63,13.0,7,0,SYNTHETIC
12.63,16.0,8,0,SYNTHETIC
12.63,15.0,9,0,SYNTHETIC
12.63,15.0,10,0,SYNTHETIC
12.63,15.0,11,0,SYNTHETIC
