student_id,concept_id,attempt_number,is_correct,true_mastery,dataset_type
student_0,concept_0,1,0,0.121,SYNTHETIC
student_0,concept_0,2,0,0.1394,SYNTHETIC
student_0,concept_0,3,0,0.1806,SYNTHETIC
student_0,concept_0,4,0,0.2089,SYNTHETIC
student_0,concept_0,5,0,0.213,SYNTHETIC
student_0,concept_0,6,1,0.2746,SYNTHETIC
student_0,concept_0,7,0,0.3304,SYNTHETIC
student_0,concept_0,8,0,0.3949,SYNTHETIC
student_0,concept_0,9,0,0.4241,SYNTHETIC
student_0,concept_0,10,1,0.4848,SYNTHETIC
student_0,concept_0,11,0,0.5286,SYNTHETIC
student_0,concept_0,12,0,0.5672,SYNTHETIC
student_0,concept_0,13,1,0.6396,SYNTHETIC
student_0,concept_0,14,1,0.6758,SYNTHETIC
student_0,concept_0,15,0,0.7419,SYNTHETIC
student_0,concept_0,16,0,0.77,SYNTHETIC
student_0,concept_0,17,1,0.7947,SYNTHETIC
student_0,concept_0,18,1,0.8182,SYNTHETIC
student_0,concept_1,1,0,0.1266,SYNTHETIC
student_0,concept_1,2,0,0.1688,SYNTHETIC
student_0,concept_1,3,0,0.1815,SYNTHETIC
student_0,concept_1,4,0,0.1898,SYNTHETIC
student_0,concept_1,5,1,0.2207,SYNTHETIC
student_0,concept_1,6,0,0.2657,SYNTHETIC
student_0,concept_1,7,1,0.3187,SYNTHETIC
student_0,concept_1,8,1,0.395,SYNTHETIC
student_0,concept_1,9,0,0.4654,SYNTHETIC
student_0,concept_1,10,0,0.4856,SYNTHETIC
student_0,concept_1,11,1,0.5212,SYNTHETIC
student_0,concept_2,1,1,0.322,SYNTHETIC
student_0,concept_2,2,0,0.3872,SYNTHETIC
student_0,concept_2,3,0,0.4122,SYNTHETIC
student_0,concept_2,4,1,0.4607,SYNTHETIC
student_0,concept_2,5,1,0.5259,SYNTHETIC
student_0,concept_2,6,1,0.5794,SYNTHETIC
student_0,concept_2,7,1,0.5805,SYNTHETIC
student_0,concept_2,8,1,0.5991,SYNTHETIC
student_0,concept_2,9,1,0.6735,SYNTHETIC
student_0,concept_2,10,1,0.7278,SYNTHETIC
student_0,concept_2,11,1,0.7549,SYNTHETIC
student_0,concept_2,12,1,0.787,SYNTHETIC
student_0,concept_2,13,0,0.861,SYNTHETIC
student_0,concept_3,1,0,0.2051,SYNTHETIC
student_0,concept_3,2,1,0.2099,SYNTHETIC
student_0,concept_3,3,0,0.2588,SYNTHETIC
student_0,concept_3,4,0,0.2971,SYNTHETIC
student_0,concept_3,5,1,0.3127,SYNTHETIC
student_0,concept_3,6,0,0.3909,SYNTHETIC
student_0,concept_3,7,1,0.4512,SYNTHETIC
student_0,concept_3,8,1,0.4525,SYNTHETIC
student_0,concept_3,9,0,0.4556,SYNTHETIC
student_0,concept_3,10,0,0.5007,SYNTHETIC
student_0,concept_3,11,1,0.5129,SYNTHETIC
student_0,concept_3,12,1,0.585,SYNTHETIC
student_0,concept_3,13,1,0.649,SYNTHETIC
student_0,concept_3,14,1,0.7149,SYNTHETIC
student_0,concept_3,15,1,0.7544,SYNTHETIC
student_0,concept_3,16,1,0.8181,SYNTHETIC
student_0,concept_3,17,1,0.8259,SYNTHETIC
student_0,concept_3,18,1,0.8395,SYNTHETIC
student_0,concept_3,19,1,0.8976,SYNTHETIC
student_0,concept_4,1,0,0.2528,SYNTHETIC
student_0,concept_4,2,0,0.2708,SYNTHETIC
student_0,concept_4,3,1,0.2996,SYNTHETIC
student_0,concept_4,4,1,0.3576,SYNTHETIC
student_0,concept_4,5,0,0.3788,SYNTHETIC
student_0,concept_4,6,1,0.4394,SYNTHETIC
student_0,concept_4,7,1,0.4658,SYNTHETIC
student_0,concept_4,8,1,0.5302,SYNTHETIC
student_0,concept_4,9,1,0.5917,SYNTHETIC
student_0,concept_4,10,1,0.6365,SYNTHETIC
student_0,concept_4,11,1,0.6617,SYNTHETIC
student_0,concept_4,12,1,0.7296,SYNTHETIC
student_0,concept_4,13,1,0.767,SYNTHETIC
student_0,concept_4,14,1,0.8061,SYNTHETIC
student_0,concept_4,15,1,0.8818,SYNTHETIC
student_0,concept_4,16,1,0.95,SYNTHETIC
student_0,concept_4,17,1,0.95,SYNTHETIC
student_0,concept_4,18,1,0.95,SYNTHETIC
student_0,concept_4,19,1,0.95,SYNTHETIC
student_0,concept_4,20,0,0.95,SYNTHETIC
student_0,concept_4,21,1,0.95,SYNTHETIC
student_0,concept_4,22,0,0.95,SYNTHETIC
student_0,concept_4,23,1,0.95,SYNTHETIC
student_0,concept_4,24,1,0.95,SYNTHETIC
student_0,concept_5,1,0,0.1749,SYNTHETIC
student_0,concept_5,2,0,0.2159,SYNTHETIC
student_0,concept_5,3,0,0.2748,SYNTHETIC
student_0,concept_5,4,0,0.3273,SYNTHETIC
student_0,concept_5,5,0,0.3338,SYNTHETIC
student_0,concept_5,6,1,0.4086,SYNTHETIC
student_0,concept_5,7,0,0.4304,SYNTHETIC
student_0,concept_5,8,1,0.4502,SYNTHETIC
student_0,concept_5,9,1,0.4821,SYNTHETIC
student_0,concept_5,10,0,0.5054,SYNTHETIC
student_0,concept_5,11,1,0.5234,SYNTHETIC
student_0,concept_5,12,1,0.5874,SYNTHETIC
student_0,concept_5,13,1,0.6517,SYNTHETIC
student_0,concept_5,14,1,0.6714,SYNTHETIC
student_0,concept_5,15,1,0.6987,SYNTHETIC
student_0,concept_5,16,1,0.7759,SYNTHETIC
student_0,concept_5,17,1,0.7873,SYNTHETIC
student_0,concept_5,18,1,0.793,SYNTHETIC
student_0,concept_5,19,1,0.8067,SYNTHETIC
student_0,concept_6,1,1,0.3176,SYNTHETIC
student_0,concept_6,2,0,0.3204,SYNTHETIC
student_0,concept_6,3,0,0.3418,SYNTHETIC
student_0,concept_6,4,0,0.3528,SYNTHETIC
student_0,concept_6,5,1,0.4296,SYNTHETIC
student_0,concept_6,6,1,0.4977,SYNTHETIC
student_0,concept_6,7,0,0.5205,SYNTHETIC
student_0,concept_6,8,0,0.598,SYNTHETIC
student_0,concept_6,9,1,0.6241,SYNTHETIC
student_0,concept_6,10,1,0.6531,SYNTHETIC
student_0,concept_6,11,0,0.6697,SYNTHETIC
student_0,concept_7,1,0,0.5552,SYNTHETIC
student_0,concept_7,2,1,0.5701,SYNTHETIC
student_0,concept_7,3,1,0.6043,SYNTHETIC
student_0,concept_7,4,1,0.6817,SYNTHETIC
student_0,concept_7,5,1,0.7263,SYNTHETIC
student_0,concept_7,6,1,0.7317,SYNTHETIC
student_0,concept_7,7,1,0.7325,SYNTHETIC
student_0,concept_7,8,1,0.7843,SYNTHETIC
student_0,concept_7,9,1,0.7939,SYNTHETIC
student_0,concept_8,1,0,0.1136,SYNTHETIC
student_0,concept_8,2,0,0.1329,SYNTHETIC
student_0,concept_8,3,1,0.1666,SYNTHETIC
student_0,concept_8,4,0,0.2147,SYNTHETIC
student_0,concept_8,5,0,0.279,SYNTHETIC
student_0,concept_8,6,0,0.2958,SYNTHETIC
student_0,concept_8,7,0,0.299,SYNTHETIC
student_0,concept_8,8,1,0.3372,SYNTHETIC
student_0,concept_8,9,0,0.3801,SYNTHETIC
student_0,concept_8,10,1,0.4239,SYNTHETIC
student_0,concept_8,11,0,0.4905,SYNTHETIC
student_0,concept_8,12,1,0.5666,SYNTHETIC
student_0,concept_8,13,0,0.6111,SYNTHETIC
student_0,concept_9,1,0,0.0894,SYNTHETIC
student_0,concept_9,2,0,0.1354,SYNTHETIC
student_0,concept_9,3,0,0.2002,SYNTHETIC
student_0,concept_9,4,0,0.2379,SYNTHETIC
student_0,concept_9,5,0,0.2561,SYNTHETIC
student_0,concept_9,6,0,0.2764,SYNTHETIC
student_0,concept_9,7,1,0.28,SYNTHETIC
student_0,concept_9,8,1,0.2905,SYNTHETIC
student_0,concept_9,9,0,0.3131,SYNTHETIC
student_0,concept_9,10,0,0.342,SYNTHETIC
student_0,concept_9,11,0,0.3836,SYNTHETIC
student_0,concept_9,12,1,0.3979,SYNTHETIC
student_0,concept_9,13,0,0.4498,SYNTHETIC
student_0,concept_9,14,0,0.4734,SYNTHETIC
student_0,concept_9,15,1,0.5407,SYNTHETIC
student_0,concept_9,16,1,0.59,SYNTHETIC
student_0,concept_9,17,1,0.6694,SYNTHETIC
student_1,concept_0,1,0,0.3047,SYNTHETIC
student_1,concept_0,2,0,0.3221,SYNTHETIC
student_1,concept_0,3,1,0.3942,SYNTHETIC
student_1,concept_0,4,0,0.4061,SYNTHETIC
student_1,concept_0,5,0,0.4099,SYNTHETIC
student_1,concept_0,6,1,0.4345,SYNTHETIC
student_1,concept_0,7,1,0.491,SYNTHETIC
student_1,concept_0,8,1,0.5431,SYNTHETIC
student_1,concept_0,9,1,0.6003,SYNTHETIC
student_1,concept_0,10,0,0.6478,SYNTHETIC
student_1,concept_1,1,0,0.2291,SYNTHETIC
student_1,concept_1,2,1,0.282,SYNTHETIC
student_1,concept_1,3,0,0.3182,SYNTHETIC
student_1,concept_1,4,0,0.3367,SYNTHETIC
student_1,concept_1,5,0,0.3761,SYNTHETIC
student_1,concept_1,6,1,0.4229,SYNTHETIC
student_1,concept_1,7,0,0.4687,SYNTHETIC
student_1,concept_1,8,1,0.5465,SYNTHETIC
student_1,concept_1,9,1,0.5656,SYNTHETIC
student_1,concept_1,10,0,0.6406,SYNTHETIC
student_1,concept_1,11,0,0.6798,SYNTHETIC
student_1,concept_1,12,0,0.7141,SYNTHETIC
student_1,concept_1,13,1,0.7568,SYNTHETIC
student_1,concept_1,14,1,0.7968,SYNTHETIC
student_1,concept_1,15,1,0.8541,SYNTHETIC
student_1,concept_1,16,1,0.9152,SYNTHETIC
student_1,concept_1,17,1,0.9331,SYNTHETIC
student_1,concept_1,18,1,0.95,SYNTHETIC
student_1,concept_1,19,1,0.95,SYNTHETIC
student_1,concept_1,20,1,0.95,SYNTHETIC
student_1,concept_1,21,1,0.95,SYNTHETIC
student_1,concept_2,1,1,0.0326,SYNTHETIC
student_1,concept_2,2,0,0.0943,SYNTHETIC
student_1,concept_2,3,0,0.1734,SYNTHETIC
student_1,concept_2,4,1,0.2111,SYNTHETIC
student_1,concept_2,5,0,0.2149,SYNTHETIC
student_1,concept_2,6,0,0.2742,SYNTHETIC
student_1,concept_2,7,0,0.3474,SYNTHETIC
student_1,concept_2,8,0,0.3787,SYNTHETIC
student_1,concept_2,9,1,0.44,SYNTHETIC
student_1,concept_2,10,1,0.4641,SYNTHETIC
student_1,concept_2,11,1,0.4855,SYNTHETIC
student_1,concept_2,12,0,0.5588,SYNTHETIC
student_1,concept_2,13,0,0.5617,SYNTHETIC
student_1,concept_2,14,0,0.615,SYNTHETIC
student_1,concept_2,15,1,0.684,SYNTHETIC
student_1,concept_2,16,1,0.7442,SYNTHETIC
student_1,concept_2,17,1,0.8005,SYNTHETIC
student_1,concept_2,18,0,0.8565,SYNTHETIC
student_1,concept_2,19,1,0.8601,SYNTHETIC
student_1,concept_2,20,1,0.8789,SYNTHETIC
student_1,concept_3,1,0,0.4863,SYNTHETIC
student_1,concept_3,2,0,0.5314,SYNTHETIC
student_1,concept_3,3,0,0.5755,SYNTHETIC
student_1,concept_3,4,1,0.6241,SYNTHETIC
student_1,concept_3,5,0,0.6287,SYNTHETIC
student_1,concept_3,6,1,0.6551,SYNTHETIC
student_1,concept_3,7,1,0.686,SYNTHETIC
student_1,concept_3,8,0,0.7529,SYNTHETIC
student_1,concept_3,9,1,0.8009,SYNTHETIC
student_1,concept_3,10,0,0.8475,SYNTHETIC
student_1,concept_3,11,0,0.8871,SYNTHETIC
student_1,concept_3,12,1,0.9105,SYNTHETIC
student_1,concept_3,13,1,0.9378,SYNTHETIC
student_1,concept_3,14,1,0.95,SYNTHETIC
student_1,concept_3,15,1,0.95,SYNTHETIC
student_1,concept_3,16,1,0.95,SYNTHETIC
student_1,concept_3,17,1,0.95,SYNTHETIC
student_1,concept_3,18,1,0.95,SYNTHETIC
student_1,concept_3,19,1,0.95,SYNTHETIC
student_1,concept_3,20,1,0.95,SYNTHETIC
student_1,concept_4,1,0,0.4691,SYNTHETIC
student_1,concept_4,2,1,0.5001,SYNTHETIC
student_1,concept_4,3,0,0.5514,SYNTHETIC
student_1,concept_4,4,0,0.599,SYNTHETIC
student_1,concept_4,5,0,0.6263,SYNTHETIC
student_1,concept_4,6,1,0.6833,SYNTHETIC
student_1,concept_4,7,1,0.7389,SYNTHETIC
student_1,concept_4,8,1,0.7561,SYNTHETIC
student_1,concept_4,9,1,0.7825,SYNTHETIC
student_1,concept_4,10,1,0.8574,SYNTHETIC
student_1,concept_4,11,1,0.863,SYNTHETIC
student_1,concept_4,12,0,0.883,SYNTHETIC
student_1,concept_4,13,1,0.9293,SYNTHETIC
student_1,concept_4,14,1,0.95,SYNTHETIC
student_1,concept_4,15,1,0.95,SYNTHETIC
student_1,concept_4,16,1,0.95,SYNTHETIC
student_1,concept_4,17,1,0.95,SYNTHETIC
student_1,concept_4,18,1,0.95,SYNTHETIC
student_1,concept_4,19,1,0.95,SYNTHETIC
student_1,concept_4,20,1,0.95,SYNTHETIC
student_1,concept_4,21,1,0.95,SYNTHETIC
student_1,concept_5,1,0,0.5384,SYNTHETIC
student_1,concept_5,2,1,0.5465,SYNTHETIC
student_1,concept_5,3,0,0.5822,SYNTHETIC
student_1,concept_5,4,1,0.6197,SYNTHETIC
student_1,concept_5,5,1,0.6733,SYNTHETIC
student_1,concept_5,6,1,0.7289,SYNTHETIC
student_1,concept_5,7,1,0.7845,SYNTHETIC
student_1,concept_5,8,1,0.8526,SYNTHETIC
student_1,concept_5,9,1,0.87,SYNTHETIC
student_1,concept_5,10,1,0.8937,SYNTHETIC
student_1,concept_5,11,0,0.9292,SYNTHETIC
student_1,concept_5,12,1,0.95,SYNTHETIC
student_1,concept_5,13,1,0.95,SYNTHETIC
student_1,concept_5,14,0,0.95,SYNTHETIC
student_1,concept_5,15,1,0.95,SYNTHETIC
student_1,concept_5,16,1,0.95,SYNTHETIC
student_1,concept_5,17,1,0.95,SYNTHETIC
student_1,concept_5,18,1,0.95,SYNTHETIC
student_1,concept_5,19,1,0.95,SYNTHETIC
student_1,concept_5,20,1,0.95,SYNTHETIC
