current_mastery,prerequisite_avg,prerequisite_min,incorrect_attempts,recent_accuracy,confusion_frequency,recent_confusion_count,time_since_last_practice,total_attempts,streak,revision_completion_rate,previous_concept_accuracy,is_confused,dataset_type
0.3738,0.4746,0.4467,4,0.8399,0.0446,0,22.45,9,4,0.8349,0.5596,0,SYNTHETIC
0.9362,0.5481,0.3823,1,0.6874,0.2341,1,104.02,16,0,0.4609,0.9401,0,SYNTHETIC
0.231,0.8155,0.73,1,0.4508,0.5767,1,57.15,10,1,0.7278,0.3669,0,SYNTHETIC
0.5654,0.7017,0.6342,4,0.6006,0.0554,0,8.05,13,2,0.2619,0.6013,0,SYNTHETIC
0.9123,0.4862,0.348,2,0.699,0.058,1,7.16,13,1,0.5178,0.8946,0,SYNTHETIC
0.6576,0.6316,0.4823,2,0.8322,0.4323,1,6.71,16,2,0.8219,0.9913,1,SYNTHETIC
0.6562,0.5656,0.3676,0,0.8801,0.1926,1,29.09,12,7,0.5809,0.8008,0,SYNTHETIC
0.1871,0.6659,0.6555,10,0.1823,0.4761,1,4.08,10,1,0.2448,0.2866,1,SYNTHETIC
0.3145,0.4055,0.3729,2,0.6428,0.2123,1,24.74,13,4,0.5832,0.4847,0,SYNTHETIC
0.7754,0.6842,0.4981,1,0.969,0.0746,0,55.88,13,3,0.7592,0.7945,1,SYNTHETIC
0.2298,0.6035,0.5749,2,0.7393,0.5754,0,41.4,15,0,0.8245,0.5037,0,SYNTHETIC
0.507,0.2454,0.1704,2,0.7568,0.3363,1,19.37,14,4,0.4193,0.6286,0,SYNTHETIC
0.9088,0.5197,0.3257,4,0.6311,0.3437,0,48.01,17,1,0.5421,0.5107,0,SYNTHETIC
0.7009,0.6142,0.4333,7,0.5476,0.7776,3,93.93,13,1,0.8206,0.3938,0,SYNTHETIC
0.5088,0.4026,0.3657,7,0.1813,0.5534,1,54.14,13,0,0.8677,0.2154,1,SYNTHETIC
0.1467,0.4469,0.2496,4,0.4118,0.511,0,4.96,11,1,0.3782,0.2081,0,SYNTHETIC
0.4566,0.06,0.0291,3,0.2697,0.848,4,10.3,21,2,0.3786,0.5669,1,SYNTHETIC
0.7969,0.4684,0.422,1,0.9726,0.0451,0,2.98,19,1,0.5185,1.0,0,SYNTHETIC
0.1654,0.499,0.3905,2,0.5281,0.6413,3,21.18,13,0,0.4356,0.6199,0,SYNTHETIC
0.9147,0.7383,0.6586,2,0.9797,0.4413,1,14.45,9,3,0.6975,0.9302,0,SYNTHETIC
0.8011,0.6248,0.5446,2,0.5172,0.2357,1,0.62,9,1,0.3633,0.4886,0,SYNTHETIC
0.9152,0.9019,0.8336,0,1.0,0.0272,0,23.49,12,4,0.1779,0.9352,0,SYNTHETIC
0.5297,0.3632,0.233,2,0.2761,0.8535,2,59.0,12,1,0.5193,0.2803,1,SYNTHETIC
0.6817,0.5877,0.5727,3,0.6683,0.3118,0,41.04,16,2,0.4278,0.8611,1,SYNTHETIC
0.6612,0.6012,0.5373,4,0.3131,0.3365,0,30.96,7,2,0.4904,0.4243,0,SYNTHETIC
0.8135,0.8939,0.8718,1,0.6943,0.1106,0,0.43,12,3,0.1908,0.6951,1,SYNTHETIC
0.2454,0.2617,0.0985,6,0.0503,0.8732,6,12.6,12,1,0.1904,0.0,0,SYNTHETIC
0.8527,0.4244,0.3007,4,0.4833,0.4731,2,40.89,17,0,0.6021,0.507,0,SYNTHETIC
0.7077,0.6359,0.5118,5,0.6986,0.3454,1,7.67,12,2,0.4173,0.7386,1,SYNTHETIC
0.3734,0.2227,0.0537,3,0.5145,0.7697,4,3.21,15,0,0.195,0.3736,1,SYNTHETIC
0.4685,0.0159,0.0,1,0.3264,0.6827,2,10.36,12,3,0.4229,0.4512,0,SYNTHETIC
0.8061,0.8035,0.6717,3,0.7334,0.6422,3,27.36,7,3,0.2964,0.82,0,SYNTHETIC
0.9636,0.5903,0.5409,5,0.5571,0.1255,0,83.69,10,2,0.5231,0.5978,0,SYNTHETIC
