prerequisite_avg,prerequisite_min,previous_accuracy,recent_incorrect,learning_velocity,recent_confusion_count,time_gap_hours,revision_completion,concept_difficulty,will_struggle,dataset_type
0.7437,0.6619,0.5072,3,-0.0203,1,22.24,0.3881,64.32,0,SYNTHETIC
0.6068,0.4477,0.7083,3,0.0592,1,27.25,0.8094,91.72,0,SYNTHETIC
0.5822,0.5307,0.729,1,-0.1975,1,3.38,0.3189,51.81,0,SYNTHETIC
0.8524,0.71,0.4225,4,0.0938,1,11.51,0.7877,48.18,0,SYNTHETIC
0.469,0.2618,0.9037,0,0.1017,0,16.4,0.6778,27.22,0,SYNTHETIC
0.8681,0.7464,0.9316,0,0.0656,3,0.03,0.5522,61.61,0,SYNTHETIC
0.4323,0.3108,0.6604,3,-0.1534,2,14.59,0.8514,38.04,0,SYNTHETIC
0.6983,0.4736,0.267,4,-0.0919,3,0.27,0.3384,33.93,0,SYNTHETIC
0.7927,0.5989,0.6917,1,-0.0411,2,10.2,0.5909,52.96,1,SYNTHETIC
0.7481,0.74,0.7835,2,-0.0514,1,0.78,0.5035,27.41,0,SYNTHETIC
0.3153,0.2083,0.6713,0,-0.2072,2,9.68,0.9582,78.65,1,SYNTHETIC
0.5671,0.3865,0.4764,3,0.1235,3,2.15,0.4831,32.7,0,SYNTHETIC
0.6288,0.5658,0.447,2,-0.0038,1,6.32,0.488,71.58,0,SYNTHETIC
0.4918,0.3325,0.4929,1,0.1333,3,10.1,0.2978,60.53,1,SYNTHETIC
0.6154,0.5167,0.5221,3,0.1675,2,10.76,0.913,59.9,0,SYNTHETIC
0.6846,0.6546,0.0969,5,-0.1986,0,19.81,0.6241,64.69,1,SYNTHETIC
0.77,0.6956,0.8756,0,0.2484,5,47.14,0.5781,39.43,0,SYNTHETIC
0.2851,0.1007,0.793,0,-0.1765,1,14.33,0.9381,65.73,1,SYNTHETIC
0.6168,0.567,0.5661,1,0.1492,2,1.57,0.9458,39.94,0,SYNTHETIC
0.6199,0.3708,0.8659,1,0.2237,2,6.82,0.5639,67.51,0,SYNTHETIC
0.5487,0.5373,0.5987,3,0.3183,0,14.11,0.6159,20.82,0,SYNTHETIC
0.7149,0.5575,0.6803,1,-0.0342,1,24.6,0.586,80.62,1,SYNTHETIC
0.6552,0.5198,0.5821,2,-0.015,0,5.12,0.7481,60.15,0,SYNTHETIC
0.2933,0.1982,0.4436,2,0.0094,1,24.74,0.4329,53.89,0,SYNTHETIC
0.4071,0.227,0.3334,6,0.0224,5,6.92,0.6445,64.62,0,SYNTHETIC
0.4106,0.3306,0.5629,1,0.0875,0,0.44,0.6755,68.34,0,SYNTHETIC
0.3566,0.2045,0.3332,2,0.0327,6,33.36,0.5686,78.39,0,SYNTHETIC
0.6689,0.5006,0.5638,2,-0.0238,2,4.11,0.5683,49.54,0,SYNTHETIC
0.6481,0.5557,0.5232,5,0.1127,6,8.19,0.3919,25.67,0,SYNTHETIC
0.6408,0.4275,0.4693,1,0.2984,3,10.7,0.8085,56.6,0,SYNTHETIC
0.6741,0.4335,0.508,2,-0.0261,4,15.32,0.5143,46.34,0,SYNTHETIC
0.5671,0.3515,0.6704,6,-0.0121,2,1.1,0.8039,38.58,0,SYNTHETIC
0.6789,0.5665,0.516,3,0.3381,0,6.53,0.4923,90.17,0,SYNTHETIC
0.3679,0.1369,0.7058,3,-0.2126,0,6.43,0.6799,68.15,1,SYNTHETIC
0.6565,0.5569,0.2476,4,0.2106,1,4.21,0.4403,65.48,1,SYNTHETIC
0.6097,0.5292,0.882,0,0.058,2,14.77,0.6065,44.01,0,SYNTHETIC
0.7233,0.4997,0.4003,2,-0.0638,0,6.47,0.688,56.97,1,SYNTHETIC
0.7938,0.5863,0.5003,2,0.16,2,4.87,0.5689,27.35,1,SYNTHETIC
0.8034,0.7496,0.7322,2,-0.1099,1,5.26,0.7149,68.64,0,SYNTHETIC
0.7577,0.6813,0.4843,3,0.1563,2,22.8,0.4355,77.64,1,SYNTHETIC
0.6972,0.6476,0.5757,4,-0.0957,1,29.85,0.6284,21.28,0,SYNTHETIC
0.4786,0.4181,0.7949,1,0.0349,2,1.21,0.7212,19.85,0,SYNTHETIC
0.7264,0.5181,0.7676,2,0.1998,0,25.41,0.8427,43.2,1,SYNTHETIC
0.8138,0.7384,0.3651,5,0.1367,1,10.89,0.4472,51.25,1,SYNTHETIC
0.6271,0.3894,0.422,4,0.0269,0,11.3,0.6197,37.89,0,SYNTHETIC
0.3874,0.2327,0.1289,2,0.0561,1,1.7,0.6026,46.73,0,SYNTHETIC
0.6879,0.5661,0.4241,2,0.068,2,4.01,0.7318,49.21,1,SYNTHETIC
0.3128,0.2873,0.1835,5,-0.0223,0,5.06,0.9267,76.92,1,SYNTHETIC
0.6909,0.5676,0.4926,0,0.1841,1,6.72,0.5574,68.18,0,SYNTHETIC
0.4886,0.2946,0.9139,1,-0.1634,2,13.84,0.5675,57.48,1,SYNTHETIC
0.6751,0.6469,0.7043,0,-0.1364,3,18.35,0.6516,48.52,1,SYNTHETIC
0.6784,0.4925,0.9601,0,-0.0636,1,3.99,0.6878,53.29,0,SYNTHETIC
0.7507,0.5802,0.5565,0,0.1463,4,0.78,0.4132,71.1,1,SYNTHETIC
