avg_practice_accuracy,avg_confusion_frequency,session_frequency,revision_completion,tutor_usage,avg_mastery_progression,total_practice_attempts,dataset_type
0.7249,0.1658,6.87,0.7716,0.0532,0.6285,24,SYNTHETIC
0.8088,0.0974,5.83,0.8229,0.182,0.6817,18,SYNTHETIC
0.7048,0.118,6.59,0.8906,0.2826,0.679,9,SYNTHETIC
0.822,0.0894,2.88,0.8614,0.3202,0.7294,15,SYNTHETIC
0.7609,0.1097,5.52,0.9473,0.252,0.8825,17,SYNTHETIC
0.8196,0.0743,0.5,0.8684,0.1205,0.7297,6,SYNTHETIC
0.8751,0.0068,5.63,0.8812,0.2432,0.887,25,SYNTHETIC
0.9372,0.1529,7.17,0.9039,0.209,0.752,16,SYNTHETIC
0.9113,0.099,5.0,0.8489,0.3595,0.8019,17,SYNTHETIC
0.7802,0.1232,2.27,0.9106,0.1383,0.9308,18,SYNTHETIC
0.772,0.0638,3.59,0.9449,0.1307,0.9702,9,SYNTHETIC
0.7339,0.0495,2.81,0.9312,0.119,0.9158,15,SYNTHETIC
0.6103,0.0568,4.91,0.9985,0.1466,0.7664,7,SYNTHETIC
0.9219,0.0,5.33,0.8956,0.2281,0.8599,20,SYNTHETIC
0.8007,0.0123,7.32,0.8484,0.2879,0.7682,18,SYNTHETIC
0.7934,0.0774,6.28,0.6971,0.1613,0.7979,16,SYNTHETIC
0.737,0.001,5.42,0.8011,0.2573,0.8318,14,SYNTHETIC
0.9477,0.1564,3.37,0.7519,0.3333,1.0,11,SYNTHETIC
0.8244,0.0495,3.92,1.0,0.2386,0.804,15,SYNTHETIC
0.6715,0.1171,7.75,1.0,0.1472,0.7089,18,SYNTHETIC
0.8016,0.0932,3.83,0.9637,0.2038,0.794,15,SYNTHETIC
0.8385,0.0487,3.38,0.694,0.2305,0.9892,20,SYNTHETIC
0.7956,0.0421,4.41,0.8464,0.232,0.7704,17,SYNTHETIC
0.7555,0.0305,7.51,0.7895,0.0723,0.7224,12,SYNTHETIC
0.8755,0.118,4.26,0.9381,0.4204,0.8367,16,SYNTHETIC
0.8706,0.0548,9.19,1.0,0.1429,0.8559,4,SYNTHETIC
0.8326,0.1001,5.57,0.8478,0.3086,0.7056,20,SYNTHETIC
0.7585,0.0072,4.25,1.0,0.0363,0.6921,16,SYNTHETIC
0.6998,0.0772,3.78,0.9507,0.174,0.9197,6,SYNTHETIC
0.9429,0.1384,5.26,0.9306,0.1492,0.7026,23,SYNTHETIC
0.7857,0.0404,5.63,0.9168,0.2794,0.7506,10,SYNTHETIC
0.6875,0.0451,5.99,0.9359,0.2836,0.8438,12,SYNTHETIC
1.0,0.0902,2.35,0.9653,0.1605,0.7703,13,SYNTHETIC
0.8331,0.0405,4.34,0.8998,0.3296,0.7136,11,SYNTHETIC
0.917,0.1296,5.24,0.8402,0.304,0.7957,15,SYNTHETIC
0.8077,0.1045,6.25,0.8753,0.0,0.7638,14,SYNTHETIC
0.8103,0.0639,2.96,0.9411,0.2739,0.6315,13,SYNTHETIC
0.7202,0.1141,4.41,0.778,0.3142,0.8419,12,SYNTHETIC
0.6959,0.0402,4.6,0.7457,0.3706,0.7284,14,SYNTHETIC
0.7574,0.1101,6.36,0.6872,0.2695,0.787,20,SYNTHETIC
0.84,0.0221,3.15,0.9959,0.2818,0.7721,18,SYNTHETIC
0.7385,0.1493,4.58,0.8373,0.2165,0.7754,17,SYNTHETIC
0.756,0.095,8.76,0.9755,0.1705,0.8174,9,SYNTHETIC
0.9489,0.0916,6.58,0.9786,0.2852,0.8848,19,SYNTHETIC
1.0,0.1215,5.74,0.7425,0.14,0.6795,16,SYNTHETIC
0.872,0.1282,2.97,0.9989,0.2619,0.7995,9,SYNTHETIC
0.8133,0.1242,6.67,0.8371,0.1633,0.7227,16,SYNTHETIC
0.7864,0.0971,4.06,0.972,0.2974,0.8776,6,SYNTHETIC
0.8364,0.1344,5.08,0.9373,0.3167,0.87,20,SYNTHETIC
0.9767,0.1564,5.68,0.936,0.2342,0.8863,16,SYNTHETIC
0.8672,0.092,4.69,0.9516,0.1746,0.7337,14,SYNTHETIC
0.8421,0.076,7.53,0.8987,0.1077,1.0,13,SYNTHETIC
0.9884,0.1358,5.74,0.8471,0.2188,0.725,18,SYNTHETIC
0.7902,0.1032,8.39,0.8227,0.079,0.7571,18,SYNTHETIC
0.9716,0.08,6.41,0.8469,0.2013,0.6184,8,SYNTHETIC
0.8941,0.1554,6.5,0.9373,0.0,0.7311,7,SYNTHETIC
0.8033,0.0896,6.46,1.0,0.315,0.8408,23,SYNTHETIC
0.7692,0.1518,4.11,0.9291,0.3055,0.8438,11,SYNTHETIC
0.8217,0.1506,6.45,1.0,0.2741,0.8484,7,SYNTHETIC
0.7651,0.0428,7.54,0.8882,0.0776,0.8139,15,SYNTHETIC
0.8691,0.124,5.95,0.8986,0.236,0.6282,7,SYNTHETIC
0.7757,0.0864,2.86,0.9953,0.2121,0.7598,16,SYNTHETIC
0.8812,0.0163,6.23,0.9195,0.2702,0.8717,9,SYNTHETIC
0.9255,0.1489,7.19,0.8247,0.2598,0.7229,9,SYNTHETIC
0.9332,0.0682,5.76,0.8899,0.2985,0.7591,17,SYNTHETIC
0.8859,0.0,4.78,0.8013,0.3612,0.8815,15,SYNTHETIC
0.8896,0.1197,4.07,1.0,0.3847,0.9044,20,SYNTHETIC
0.8059,0.0801,6.39,0.8498,0.1976,0.7709,10,SYNTHETIC
0.8595,0.0972,4.83,1.0,0.1453,0.6964,11,SYNTHETIC
0.8422,0.1663,5.22,0.8163,0.0246,0.7616,22,SYNTHETIC
0.8361,0.056,5.41,0.8457,0.176,0.8816,19,SYNTHETIC
0.8416,0.0618,5.87,0.8944,0.1283,0.7008,13,SYNTHETIC
0.8123,0.0967,0.5,0.8704,0.387,0.6728,20,SYNTHETIC
0.8799,0.1105,7.4,0.837,0.2003,0.794,18,SYNTHETIC
0.8918,0.2527,4.79,0.974,0.3697,0.8141,15,SYNTHETIC
0.9617,0.0486,6.56,0.8487,0.2016,0.7919,23,SYNTHETIC
0.7093,0.0,4.46,0.8199,0.2295,0.8872,18,SYNTHETIC
0.6793,0.029,5.93,0.8163,0.0568,0.9656,13,SYNTHETIC
0.8329,0.1207,5.31,0.9133,0.2421,0.7422,16,SYNTHETIC
0.7412,0.1419,5.15,0.9032,0.2436,0.9184,20,SYNTHETIC
0.86,0.0888,7.19,0.8393,0.1383,0.9697,10,SYNTHETIC
0.8569,0.1179,4.85,0.8647,0.1628,0.7093,8,SYNTHETIC
0.6191,0.0982,6.84,0.7742,0.2426,0.824,20,SYNTHETIC
0.8872,0.1339,3.86,0.9113,0.1747,0.6918,17,SYNTHETIC
0.7216,0.1497,5.76,0.7962,0.3244,0.8209,15,SYNTHETIC
0.5505,0.0672,3.8,0.8369,0.0875,0.6706,21,SYNTHETIC
0.7366,0.0,3.73,0.8362,0.1647,0.7847,15,SYNTHETIC
0.7376,0.1027,9.49,0.8327,0.0337,0.8976,12,SYNTHETIC
0.7172,0.0358,6.77,0.816,0.3925,0.9639,20,SYNTHETIC
0.7595,0.2455,3.09,0.8999,0.088,0.8279,16,SYNTHETIC
0.881,0.0896,6.01,0.8743,0.2284,0.72,19,SYNTHETIC
0.8653,0.0746,5.07,0.8264,0.3649,1.0,16,SYNTHETIC
0.9659,0.131,5.17,0.8243,0.2611,0.6951,14,SYNTHETIC
0.8597,0.0679,3.39,0.8468,0.2496,0.7853,18,SYNTHETIC
0.9807,0.0628,6.54,0.9248,0.1549,0.7456,9,SYNTHETIC
0.7994,0.0198,1.7,0.8254,0.2009,0.752,10,SYNTHETIC
0.7579,0.1398,3.4,0.9061,0.2013,0.6748,19,SYNTHETIC
0.741,0.206,4.05,0.8902,0.4138,0.901,14,SYNTHETIC
0.5673,0.1622,3.07,0.9407,0.1987,0.8175,13,SYNTHETIC
0.7518,0.078,4.85,0.8236,0.1496,0.8912,7,SYNTHETIC
0.7567,0.2562,7.41,0.7921,0.4205,0.6546,6,SYNTHETIC
0.7148,0.1367,5.86,0.6675,0.4342,0.499,17,SYNTHETIC
0.6181,0.2458,5.22,0.6403,0.156,0.4431,26,SYNTHETIC
0.7126,0.2159,3.97,0.7107,0.3735,0.7055,19,SYNTHETIC
